annual_return,annual_volatility,sharpe,w_MediaTek,w_First Financial,w_Gold (TWD)
0.09370043694562272,0.18537130456125991,0.505474335239721,0.0,1.0,5.159447088315394e-17
0.09967979582267199,0.18323429025819815,0.5440018660383474,1.980623051586135e-18,0.9826237240724495,0.017376275927550623
0.10565915469972126,0.1812219927456951,0.583037152935353,0.0,0.9652474481448988,0.03475255185510124
0.11163851357677052,0.17933861028687825,0.6225012750917855,2.8407361007277985e-18,0.9478711722173481,0.05212882778265184
0.11761787245381983,0.1775882444903089,0.6623066340420878,0.0,0.9304948962897974,0.06950510371020248
0.12359723133086911,0.17597486462356945,0.7023573031026781,2.4103570410051363e-18,0.913118620362247,0.0868813796377531
0.1295765902079184,0.17450227028331278,0.7425495954725667,7.746015992371986e-20,0.8957423444346964,0.10425765556530368
0.13555594908496768,0.1731740530373705,0.7827728617965364,6.160728815748576e-18,0.8783660685071457,0.12163393149285437
0.14153530796201697,0.17199355776703545,0.8229105194377451,3.628688216940229e-18,0.860989792579595,0.13901020742040499
0.14751466683906625,0.17096384453429925,0.8628413056625633,0.0,0.8436135166520445,0.15638648334795557
0.15349402571611556,0.17008765187145838,0.9024407358631581,2.2981789346109875e-19,0.8262372407244938,0.17376275927550627
0.15947338459316482,0.16936736243136602,0.9415827365073917,0.0,0.8088609647969431,0.19113903520305683
0.16545274347021308,0.16877723493032712,0.9803024888902439,0.004169249436422497,0.7959365168385225,0.19989423372505505
0.17143210234724926,0.1682481359080713,1.0189242301080688,0.009808086047236972,0.7845812600225219,0.20561065393024114
0.17741146122430917,0.16777717577738874,1.0574230994310183,0.015446910238857314,0.7732259899455246,0.21132709981561806
0.1833908201014853,0.16736484534279072,1.0957547251089126,0.02108568322496248,0.7618706651921267,0.21704365158291086
0.1893701789783918,0.1670115788528492,1.1338745509689623,0.026724317176105346,0.7505151919812002,0.2227604908426945
0.19534953785546072,0.1667177517681297,1.1717380769814603,0.03236344367293999,0.7391602446986817,0.22847631162837817
0.20132889673251006,0.166483678803196,1.2093011049479832,0.03800228316031084,0.7278049909541634,0.2341927258855258
0.20730825560955962,0.16630961226145116,1.246519986371296,0.04364112164349626,0.7164497361373984,0.23990914221910542
0.21328761448662467,0.16619574068773577,1.2833518693320158,0.04927996109603301,0.705094482355639,0.2456255565483279
0.21926697336365938,0.16614218785250973,1.3197549412212533,0.05491880084600222,0.6937392288915594,0.25134197026243826
0.22524633224070983,0.16614901208124758,1.3556886641646921,0.06055763982797788,0.6823839746073885,0.25705838556463356
0.23122569111770708,0.16621620593736544,1.391114000068314,0.06619647866705025,0.6710287201707834,0.2627748011621664
0.23720504999476655,0.16634369626268822,1.425993622386356,0.07183531791408371,0.659673466169609,0.2684912159163074
0.24318440887182427,0.16653134457493818,1.4602921119296712,0.0774741559127731,0.6483182108354866,0.27420763325174047
0.2491637677489058,0.16677894781723202,1.4939761343377511,0.08311299605900321,0.6369629577943888,0.2799240461466079
0.25514312662591343,0.167086239450143,1.5270145971658293,0.08875183388093047,0.6256077022716698,0.2856404638473998
0.26112248550300365,0.16745289087275284,1.5593787849349832,0.09439067337089567,0.6142524485298025,0.29135687809930183
0.2671018443800313,0.1678785131551229,1.5910424708921755,0.10002951109606562,0.6028971929037098,0.29707329600022464
0.2730812032571017,0.16836265906129846,1.621982004677633,0.10566835123151641,0.591541939851135,0.30278970891734863
0.27906056213415087,0.1689048253386777,1.6521763755096728,0.11130718993251255,0.5801866852669444,0.3085061248005431
0.28503992101120007,0.1695044552472586,1.6816072509445739,0.11694602876200007,0.5688314308199536,0.31422254041804637
0.29101927988824916,0.17016094130009107,1.7102589916625797,0.12258486800748895,0.5574761768171597,0.3199389551753513
0.2969986387653019,0.17087362818492152,1.738118643117277,0.1282237071237791,0.5461209226764,0.3256553701998209
0.30297799764149347,0.17164181583642196,1.7651759052132,0.13386200798097989,0.5347650937975561,0.3313728982214641
0.3089573565193774,0.17246476262550212,1.791423081538468,0.1395010680920855,0.5234100756275256,0.337088856280389
0.3149367153964324,0.1733416886407495,1.8168550096978604,0.14514004788125287,0.5120549716939986,0.3428049804247485
0.32091607427376934,0.17427177902261068,1.8414689749172324,0.150778972901007,0.5006998092781421,0.34852121782085094
0.3268954331505389,0.17525418732813372,1.8652646087050846,0.15641785969337701,0.48934460604561897,0.3542375342610041
0.33287479202738857,0.17628803889621028,1.8882437748562673,0.1620567234685658,0.47798937823565024,0.359953898295784
0.33885415090469245,0.1773724341864051,1.91041044488673,0.16769557468932494,0.4666341370190319,0.36567028829164305
0.3448335097816918,0.1785064520683013,1.931770565075986,0.17333441724435888,0.45527888655023846,0.3713866962054027
