portfolio,annual_return,annual_volatility,sharpe,w_MediaTek,w_First Financial,w_Gold (TWD)
Maximum return,0.8052441295403684,0.45406018192930914,1.7734303988490532,1.0,0.0,0.0
Maximum Sharpe,0.5893028860688685,0.2561023878109669,2.301044090630822,0.4123884868642919,0.0,0.5876115131357083
Minimum variance,0.22157373396425556,0.16613669387747856,1.3336832989325065,0.05710751255159995,0.6893310218084369,0.2535614656399632
