,MediaTek,First Financial,Gold (TWD)
2025-01-02,1298.761474609375,25.79073143005371,87214.57220762037
2025-01-03,1313.192138671875,25.837966918945312,86940.62250137329
2025-01-06,1370.9149169921875,26.215852737426758,86835.80939577147
2025-01-07,1433.4478759765625,26.02691078186035,86969.20276940055
2025-01-08,1414.2069091796875,26.168617248535156,87194.42691612244
2025-01-09,1385.345703125,26.074146270751953,88351.50148612913
2025-01-10,1409.396728515625,25.97967529296875,88922.76697158813
2025-01-13,1337.243408203125,25.837966918945312,88482.95328521729
2025-01-14,1346.86376953125,26.074146270751953,88503.4253025055
2025-01-15,1366.1046142578125,26.074146270751953,89383.38556289673
2025-01-16,1404.5865478515625,26.310325622558594,90070.93513649888
2025-01-17,1375.72509765625,26.121381759643555,90131.04239994194
2025-01-20,1390.1558837890625,26.074146270751953,90314.91418818664
2025-01-21,1409.396728515625,26.310325622558594,89030.58521270752
2025-01-22,1409.396728515625,26.215852737426758,90179.48056850582
2025-02-03,1443.068359375,26.404796600341797,93031.26348611154
2025-02-04,1433.4478759765625,26.121381759643555,94121.80731748044
2025-02-05,1467.1195068359375,26.263090133666992,94451.52625894547
2025-02-06,1467.1195068359375,26.45203399658203,93739.06146240234
2025-02-07,1467.1195068359375,26.168617248535156,94035.97651401069
2025-02-10,1423.827392578125,26.168617248535156,95670.35037726257
2025-02-11,1452.6888427734375,26.121381759643555,95720.4728603363
2025-02-12,1428.6375732421875,26.263090133666992,95424.79664611816
2025-02-13,1462.3092041015625,26.310325622558594,96132.78385082819
2025-02-14,1447.8785400390625,26.310325622558594,94049.48002987541
2025-02-17,1486.3603515625,26.263090133666992,94194.24083800055
2025-02-18,1476.7398681640625,26.404796600341797,95882.67230868898
2025-02-19,1481.5501708984375,26.121381759643555,95526.5548215285
2025-02-20,1443.068359375,25.97967529296875,96273.8296508789
2025-02-21,1452.6888427734375,26.121381759643555,96039.83639582992
2025-02-24,1486.3603515625,26.074146270751953,96611.51999096386
2025-02-25,1491.170654296875,25.97967529296875,94976.27691268921
2025-02-26,1500.7911376953125,26.310325622558594,95607.75065445807
2025-02-27,1457.4990234375,26.121381759643555,94425.66728514154
2025-03-03,1414.2069091796875,26.263090133666992,95102.02586523443
2025-03-04,1447.8785400390625,26.168617248535156,95693.54885389656
2025-03-05,1447.8785400390625,26.074146270751953,95606.68147191405
2025-03-06,1438.2581787109375,26.168617248535156,95667.69637645036
2025-03-07,1409.396728515625,26.02691078186035,95442.33678481635
2025-03-10,1342.0535888671875,26.02691078186035,94902.8560295105
2025-03-11,1332.43310546875,25.93243980407715,95737.11603704467
2025-03-12,1356.4842529296875,25.97967529296875,96604.69657265209
2025-03-13,1337.243408203125,26.215852737426758,98202.27147636656
2025-03-14,1346.86376953125,26.074146270751953,98723.8709487915
2025-03-17,1370.9149169921875,26.02691078186035,98777.99606323242
2025-03-18,1419.0172119140625,26.215852737426758,100025.97839730792
2025-03-19,1409.396728515625,26.02691078186035,100121.54537137039
2025-03-20,1428.6375732421875,26.168617248535156,100330.03112792969
2025-03-21,1423.827392578125,25.97967529296875,99562.26988358516
2025-03-24,1423.827392578125,25.97967529296875,99356.97112258896
2025-03-25,1467.1195068359375,25.97967529296875,99816.26357748173
2025-03-26,1457.4990234375,26.02691078186035,99826.54212318547
2025-03-27,1428.6375732421875,26.215852737426758,101257.4290728271
2025-03-28,1409.396728515625,25.93243980407715,102198.3379650116
2025-03-31,1337.243408203125,25.554553985595703,103799.06750587653
2025-04-01,1404.5865478515625,25.74349594116211,103558.38929058239
2025-04-02,1380.535400390625,25.601789474487305,104440.9228972625
2025-04-07,1245.8489990234375,23.051057815551758,97334.1669755755
2025-04-08,1212.1773681640625,24.3264217376709,98196.74641393311
2025-04-09,1140.02392578125,23.051057815551758,99605.52897453308
2025-04-10,1250.6591796875,24.798782348632812,103447.33423895016
2025-04-11,1332.43310546875,24.373659133911133,105644.0163831152
2025-04-14,1346.86376953125,23.948535919189453,103697.07447420899
2025-04-15,1332.43310546875,24.137479782104492,104620.62841891777
2025-04-16,1313.192138671875,23.85406494140625,107711.31737402827
2025-04-17,1289.14111328125,23.712358474731445,107131.73212109134
2025-04-18,1313.192138671875,23.665122985839844,107131.73212109134
2025-04-21,1293.9512939453125,23.570650100708008,110499.17473053094
2025-04-22,1250.6591796875,23.2872371673584,110776.30308586918
2025-04-23,1318.0023193359375,23.476179122924805,106587.21018913202
2025-04-24,1279.5206298828125,23.428943634033203,108075.42013549805
2025-04-25,1327.6229248046875,23.570650100708008,106466.61119403318
2025-04-28,1298.761474609375,23.570650100708008,108059.31010246277
2025-04-29,1318.0023193359375,23.80682945251465,107269.26302229986
2025-04-30,1298.761474609375,23.995773315429688,105865.76494216919
2025-05-02,1250.6591796875,23.85406494140625,103781.47357041575
2025-05-05,1245.8489990234375,23.665122985839844,96557.50891856384
2025-05-06,1231.4183349609375,23.995773315429688,102265.58204564452
2025-05-07,1226.608154296875,24.09024429321289,102763.10793799628
