,MediaTek,First Financial,Gold (TWD)
2025-01-03,0.011111096490477701,0.0018314908601839708,-0.0031411001546268746
2025-01-06,0.04395607970871018,0.014625214888883686,-0.001205571142536499
2025-01-07,0.04561403352556215,-0.007207164209335981,0.0015361562765092707
2025-01-08,-0.013422857656241405,0.005444613379685714,0.0025897000265606707
2025-01-09,-0.020408050524536425,-0.003610086726630213,0.013270051893566004
2025-01-10,0.01736102789099636,-0.0036231666725431433,0.00646582656604533
2025-01-13,-0.05119447126040355,-0.005454586034098319,-0.0049460189032508595
2025-01-14,0.007194173677813831,0.00914078698790588,0.00023136679471158494
2025-01-15,0.014285665084939447,0.0,0.009942668968839552
2025-01-16,0.02816909714828597,0.00905798983231021,0.007692140650885859
2025-01-17,-0.020548004136490272,-0.007181357829833868,0.0006673325124466611
2025-01-20,0.010489585570109483,-0.001808307436652501,0.002040049502909147
2025-01-21,0.013840782138848207,0.00905798983231021,-0.014220563536195163
2025-01-22,0.0,-0.003590715162066771,0.01290450189733594
2025-02-03,0.023890810996019418,0.007207236964880348,0.0316234125504784
2025-02-04,-0.006666685840582165,-0.010733460476441414,0.01172233709941728
2025-02-05,0.0234899583191579,0.0054249953286305,0.0035031089060248988
2025-02-06,0.0,0.007194273863182277,-0.007543179287435198
2025-02-07,0.0,-0.0107143650308138,0.00316746345628216
2025-02-10,-0.029508239823747173,0.0,0.017380304047870165
2025-02-11,0.02027032935716533,-0.0018050433633151064,0.0005239082210537482
2025-02-12,-0.016556380708020013,0.0054249953286305,-0.003088954801232058
2025-02-13,0.023569050324610874,0.0017985503096245026,0.00741932107369947
2025-02-14,-0.009868408146528895,0.0,-0.02167110674944661
2025-02-17,0.026578066087228125,-0.0017953213338834928,0.0015391983887540484
2025-02-18,-0.006472510779989671,0.005395650928873286,0.017924996854024933
2025-02-19,0.0032573798798805065,-0.010733460476441414,-0.0037140963907846825
2025-02-20,-0.02597401848369496,-0.005424922309957392,0.007822692137767762
2025-02-21,0.006666685840582165,0.005454512617144136,-0.0024304970093900202
2025-02-24,0.023178748123911852,-0.001808307436652501,0.005952567357338401
2025-02-25,0.003236296453493548,-0.0036231666725431433,-0.01692596367832322
2025-02-26,0.006451631388208812,0.012727269523623796,0.00664875232316553
2025-02-27,-0.028846195296897803,-0.007181357829833868,-0.01236388641323416
2025-03-03,-0.02970301424676658,0.0054249953286305,0.00716286788898679
2025-03-04,0.0238095505267375,-0.0035971732439332715,0.00621987789724221
2025-03-05,0.0,-0.003610086726630213,-0.0009077663334978725
2025-03-06,-0.006644453289476493,0.0036231666725430323,0.0006381866162170624
2025-03-07,-0.020066946687680276,-0.005415130089945319,-0.0023556498187981
2025-03-10,-0.047781535380292284,0.0,-0.005652426098096908
2025-03-11,-0.007168479320231902,-0.0036297422531238466,0.008790673352072398
2025-03-12,0.018050547800278816,0.0018214826390603456,0.009062112705293002
2025-03-13,-0.014184348019526838,0.00909085436190682,0.01653723846141375
2025-03-14,0.007194173677813831,-0.005405373157002069,0.005311480728329876
2025-03-17,0.017857149330928968,-0.0018115833362715161,0.0005482474899003442
